GGDENAME,Energieträger_Label,Anzahl
Hellsau,Luft,3
Hellsau,Weitere,6
Herbligen,Elektrizität,11
Herbligen,Fernwärme,2
Herbligen,Geothermie,12
Herbligen,Heizöl,64
Herbligen,Holz,44
Herbligen,Keine,4
Herbligen,Luft,26
Herbligen,Sonne,1
Herbligen,Weitere,13
Hermrigen,Elektrizität,7
Hermrigen,Geothermie,2
Hermrigen,Heizöl,53
Hermrigen,Holz,18
Hermrigen,Keine,9
Hermrigen,Luft,16
Hermrigen,Weitere,26
Herzogenbuchsee,Elektrizität,72
Herzogenbuchsee,Fernwärme,14
Herzogenbuchsee,Gas,621
Herzogenbuchsee,Geothermie,74
Herzogenbuchsee,Heizöl,534
Herzogenbuchsee,Holz,90
Herzogenbuchsee,Keine,41
Herzogenbuchsee,Luft,129
Herzogenbuchsee,Sonne,4
Herzogenbuchsee,Wasser,2
Herzogenbuchsee,Weitere,187
Hilterfingen,Elektrizität,68
Hilterfingen,Fernwärme,6
Hilterfingen,Gas,316
Hilterfingen,Geothermie,21
Hilterfingen,Heizöl,482
Hilterfingen,Holz,53
Hilterfingen,Keine,31
Hilterfingen,Luft,62
Hilterfingen,Sonne,9
Hilterfingen,Wasser,2
